ItemName_CN = {
	ItemName_Packing.pkCultivation					= "修炼书籍捆绑",
	ItemName_Packing.25pkBudNorthernLightsCured		= "25 x 大麻芽"北极光" [已固化]",
	ItemName_Packing.5pkBudPurpleHazeCured			= "5 x 大麻芽"紫氤" [已固化]",
	ItemName_Packing.25pkBudPurpleHazeCured			= "25 x 大麻芽"紫氤" [已固化]",
	ItemName_Packing.5pkBudSourDieselCured			= "5 x 大麻芽"酸柴油" [已固化]",
	ItemName_Packing.25pkBudSourDieselCured			= "25 x 大麻芽"酸柴油" [已固化]",
	ItemName_Packing.5pkNorthernLightsLoose			= "5 x 大麻芯料"北极光"",
	ItemName_Packing.25pkNorthernLightsLoose		= "25 x 大麻芯料"北极光"",
	ItemName_Packing.5pkPurpleHazeLoose				= "5 x 大麻芯料"紫氤"",
	ItemName_Packing.25pkPurpleHazeLoose			= "25 x 大麻芯料"紫氤"",
	ItemName_Packing.5pkSourDieselLoose				= "5 x 大麻芯料"酸柴油"",
	ItemName_Packing.25pkSourDieselLoose			= "25 x 大麻芯料"酸柴油"",
	ItemName_Packing.5pkNorthernLightsZipLockBag	= "5 x 大麻芯料"北极光" [塑封]",
	ItemName_Packing.10pkNorthernLightsZipLockBag	= "10 x 大麻芯料"北极光" [塑封]",
	ItemName_Packing.5pkPurpleHazeZipLockBag		= "5 x 大麻芯料"紫氤" [塑封]",
	ItemName_Packing.10pkPurpleHazeZipLockBag		= "10 x 大麻芯料"紫氤" [塑封]",
	ItemName_Packing.5pkSourDieselpLockBag			= "5 x 大麻芯料"酸柴油" [塑封]",
	ItemName_Packing.10pkSourDieselZipLockBag		= "10 x 大麻芯料"酸柴油" [塑封]",
	ItemName_Packing.5pkChewingTobaccoCan			= "5 x 嚼烟",
	ItemName_Packing.10pkChewingTobaccoCan			= "10 x 嚼烟",
	ItemName_Packing.5pkShishaWatermelonCan			= "5 x 水烟西瓜味",
	ItemName_Packing.10pkShishaWatermelonCan		= "10 x 水烟西瓜味",
	ItemName_Packing.5pkShishaOrangeCan				= "5 x 水烟橘子味",
	ItemName_Packing.10pkShishaOrangeCan			= "10 x 水烟橘子味",
	ItemName_Packing.5pkShishaLemonCan				= "5 x 水烟柠檬味",
	ItemName_Packing.10pkShishaLemonCan				= "10 x 水烟柠檬味",
}
